EdgeID	Property	Value
1522	Value	$169M
		
1523	Date	"Oct 6, 2008"
		
1523	Value	$945M
		
1524	Date	"Apr 20, 2011"
		
1524	Value	$135M
		
1525	Date	"Apr 28, 2011"
		
1525	Value	—
		
1526	Date	"Oct 15, 2011"
		
1526	Value	$240M
		
1527	Date	"Jul 17, 2012"
		
1527	Value	—
		
1528	Date	"Apr 13, 2013"
		
1528	Value	—
		
1529	Date	"Sep 26, 2013"
		
1529	Value	$800M
		
1530	Date	"Sep 26, 2013"
		
1530	Value	$26.2M
		
1531	Date	"Dec 17, 2013"
		
1531	Value	—
		
1532	Date	"Mar 2, 2015"
		
1532	Value	$280M
		
1533	Date	"Mar 5, 2015"
		
1533	Value	$60M
		
1534	Date	"Jul 2, 2015"
		
1534	Value	$890M
		
1535	Date	"Aug 19, 2015"
		
1535	Value	—
		
1536	Date	"Feb 14, 2017"
		
1536	Value	$233M
		
1537	Date	"Aug 10, 2017"
		
1537	Value	—
		
1538	Date	"May 17, 2018"
		
1538	Value	$2.2B
		
1539	Date	"June 19, 2018"
		
1539	Value	$400M
		
1540	Date	"June 22, 2018"
		
1540	Value	$120M
		
1541	Date	"Sept 30, 2019"
		
1541	Value	undisclosed (70% stake)
